路径ID,起始节点,中介变量,终点节点,完整路径
1,疾病_反流性食管炎,疾病_糖尿病,疾病_高尿酸血症,疾病_反流性食管炎 → 疾病_糖尿病 → 疾病_高尿酸血症
2,疾病_反流性食管炎,疾病_糖尿病,药物_盐酸羟考酮缓释片,疾病_反流性食管炎 → 疾病_糖尿病 → 药物_盐酸羟考酮缓释片
3,疾病_反流性食管炎,疾病_糖尿病,药物_阿卡波糖片,疾病_反流性食管炎 → 疾病_糖尿病 → 药物_阿卡波糖片
4,疾病_反流性食管炎,疾病_糖尿病,药物_阿司匹林肠溶片,疾病_反流性食管炎 → 疾病_糖尿病 → 药物_阿司匹林肠溶片
5,疾病_反流性食管炎,疾病_糖尿病,检验_葡萄糖,疾病_反流性食管炎 → 疾病_糖尿病 → 检验_葡萄糖
6,疾病_反流性食管炎,药物_氯化钠注射液,检验_谷草/谷丙,疾病_反流性食管炎 → 药物_氯化钠注射液 → 检验_谷草/谷丙
7,疾病_反流性食管炎,药物_氯化钠注射液,药物_肝素钠注射液,疾病_反流性食管炎 → 药物_氯化钠注射液 → 药物_肝素钠注射液
8,疾病_高血压,检验_总蛋白,疾病_动脉硬化,疾病_高血压 → 检验_总蛋白 → 疾病_动脉硬化
9,疾病_高血压,检验_总蛋白,药物_苯磺酸氨氯地平片,疾病_高血压 → 检验_总蛋白 → 药物_苯磺酸氨氯地平片
10,疾病_高血压,检验_总蛋白,检验_氯,疾病_高血压 → 检验_总蛋白 → 检验_氯
11,疾病_高血压,药物_阿司匹林肠溶片,疾病_糖尿病,疾病_高血压 → 药物_阿司匹林肠溶片 → 疾病_糖尿病
12,疾病_高血压,检验_碳酸氢盐,检验_总蛋白,疾病_高血压 → 检验_碳酸氢盐 → 检验_总蛋白
13,疾病_高血压,检验_碳酸氢盐,检验_尿酸,疾病_高血压 → 检验_碳酸氢盐 → 检验_尿酸
14,疾病_高血压,检验_碳酸氢盐,检验_磷,疾病_高血压 → 检验_碳酸氢盐 → 检验_磷
15,疾病_高血压,药物_阿卡波糖片,疾病_冠状动脉粥样硬化性心脏病,疾病_高血压 → 药物_阿卡波糖片 → 疾病_冠状动脉粥样硬化性心脏病
16,检验_尿酸,检验_碳酸氢盐,检验_总蛋白,检验_尿酸 → 检验_碳酸氢盐 → 检验_总蛋白
17,检验_尿酸,检验_碳酸氢盐,检验_磷,检验_尿酸 → 检验_碳酸氢盐 → 检验_磷
18,检验_尿酸,检验_磷,药物_碳酸钙片,检验_尿酸 → 检验_磷 → 药物_碳酸钙片
19,检验_尿酸,药物_硫酸氢氯吡格雷片,药物_苯磺酸氨氯地平片,检验_尿酸 → 药物_硫酸氢氯吡格雷片 → 药物_苯磺酸氨氯地平片
20,检验_尿酸,疾病_混合痔,疾病_高脂血症,检验_尿酸 → 疾病_混合痔 → 疾病_高脂血症
21,检验_尿酸,疾病_混合痔,检验_葡萄糖,检验_尿酸 → 疾病_混合痔 → 检验_葡萄糖
22,疾病_糖尿病,疾病_高尿酸血症,疾病_脂肪肝,疾病_糖尿病 → 疾病_高尿酸血症 → 疾病_脂肪肝
23,疾病_糖尿病,药物_阿卡波糖片,疾病_高血压,疾病_糖尿病 → 药物_阿卡波糖片 → 疾病_高血压
24,疾病_糖尿病,药物_阿卡波糖片,疾病_冠状动脉粥样硬化性心脏病,疾病_糖尿病 → 药物_阿卡波糖片 → 疾病_冠状动脉粥样硬化性心脏病
25,疾病_糖尿病,检验_葡萄糖,疾病_混合痔,疾病_糖尿病 → 检验_葡萄糖 → 疾病_混合痔
26,疾病_糖尿病,检验_葡萄糖,疾病_冠状动脉粥样硬化性心脏病,疾病_糖尿病 → 检验_葡萄糖 → 疾病_冠状动脉粥样硬化性心脏病
27,检验_谷草/谷丙,疾病_糖尿病,疾病_高尿酸血症,检验_谷草/谷丙 → 疾病_糖尿病 → 疾病_高尿酸血症
28,检验_谷草/谷丙,疾病_糖尿病,药物_盐酸羟考酮缓释片,检验_谷草/谷丙 → 疾病_糖尿病 → 药物_盐酸羟考酮缓释片
29,检验_谷草/谷丙,疾病_糖尿病,药物_阿卡波糖片,检验_谷草/谷丙 → 疾病_糖尿病 → 药物_阿卡波糖片
30,检验_谷草/谷丙,疾病_糖尿病,药物_阿司匹林肠溶片,检验_谷草/谷丙 → 疾病_糖尿病 → 药物_阿司匹林肠溶片
31,检验_谷草/谷丙,疾病_糖尿病,检验_葡萄糖,检验_谷草/谷丙 → 疾病_糖尿病 → 检验_葡萄糖
32,检验_谷草/谷丙,药物_硫酸氢氯吡格雷片,药物_苯磺酸氨氯地平片,检验_谷草/谷丙 → 药物_硫酸氢氯吡格雷片 → 药物_苯磺酸氨氯地平片
33,疾病_高脂血症,疾病_反流性食管炎,药物_艾司唑仑片,疾病_高脂血症 → 疾病_反流性食管炎 → 药物_艾司唑仑片
34,疾病_高脂血症,疾病_反流性食管炎,疾病_糖尿病,疾病_高脂血症 → 疾病_反流性食管炎 → 疾病_糖尿病
35,疾病_高脂血症,疾病_反流性食管炎,药物_氯化钠注射液,疾病_高脂血症 → 疾病_反流性食管炎 → 药物_氯化钠注射液
36,疾病_高脂血症,药物_阿托伐他汀钙片,疾病_高尿酸血症,疾病_高脂血症 → 药物_阿托伐他汀钙片 → 疾病_高尿酸血症
37,疾病_高脂血症,疾病_动脉硬化,疾病_脂肪肝,疾病_高脂血症 → 疾病_动脉硬化 → 疾病_脂肪肝
38,疾病_高脂血症,疾病_混合痔,检验_尿酸,疾病_高脂血症 → 疾病_混合痔 → 检验_尿酸
39,疾病_高脂血症,疾病_混合痔,检验_葡萄糖,疾病_高脂血症 → 疾病_混合痔 → 检验_葡萄糖
40,疾病_高脂血症,药物_阿司匹林肠溶片,疾病_糖尿病,疾病_高脂血症 → 药物_阿司匹林肠溶片 → 疾病_糖尿病
41,药物_阿托伐他汀钙片,疾病_高脂血症,疾病_反流性食管炎,药物_阿托伐他汀钙片 → 疾病_高脂血症 → 疾病_反流性食管炎
42,药物_阿托伐他汀钙片,疾病_高脂血症,疾病_动脉硬化,药物_阿托伐他汀钙片 → 疾病_高脂血症 → 疾病_动脉硬化
43,药物_阿托伐他汀钙片,疾病_高脂血症,疾病_混合痔,药物_阿托伐他汀钙片 → 疾病_高脂血症 → 疾病_混合痔
44,药物_阿托伐他汀钙片,疾病_高脂血症,药物_阿司匹林肠溶片,药物_阿托伐他汀钙片 → 疾病_高脂血症 → 药物_阿司匹林肠溶片
45,药物_阿托伐他汀钙片,疾病_高尿酸血症,疾病_脂肪肝,药物_阿托伐他汀钙片 → 疾病_高尿酸血症 → 疾病_脂肪肝
46,检验_钠,疾病_高脂血症,疾病_反流性食管炎,检验_钠 → 疾病_高脂血症 → 疾病_反流性食管炎
47,检验_钠,疾病_高脂血症,药物_阿托伐他汀钙片,检验_钠 → 疾病_高脂血症 → 药物_阿托伐他汀钙片
48,检验_钠,疾病_高脂血症,疾病_动脉硬化,检验_钠 → 疾病_高脂血症 → 疾病_动脉硬化
49,检验_钠,疾病_高脂血症,疾病_混合痔,检验_钠 → 疾病_高脂血症 → 疾病_混合痔
50,检验_钠,疾病_高脂血症,药物_阿司匹林肠溶片,检验_钠 → 疾病_高脂血症 → 药物_阿司匹林肠溶片
51,检验_钠,检验_氯,检验_葡萄糖,检验_钠 → 检验_氯 → 检验_葡萄糖
52,检验_钠,检验_氯,药物_肝素钠注射液,检验_钠 → 检验_氯 → 药物_肝素钠注射液
53,检验_钠,药物_阿司匹林肠溶片,疾病_糖尿病,检验_钠 → 药物_阿司匹林肠溶片 → 疾病_糖尿病
54,检验_钠,检验_谷草/谷丙,检验_钾,检验_钠 → 检验_谷草/谷丙 → 检验_钾
55,检验_钠,检验_谷草/谷丙,药物_艾司唑仑片,检验_钠 → 检验_谷草/谷丙 → 药物_艾司唑仑片
56,检验_钠,检验_谷草/谷丙,疾病_糖尿病,检验_钠 → 检验_谷草/谷丙 → 疾病_糖尿病
57,检验_钠,检验_谷草/谷丙,药物_硫酸氢氯吡格雷片,检验_钠 → 检验_谷草/谷丙 → 药物_硫酸氢氯吡格雷片
58,检验_氯,检验_钠,疾病_高脂血症,检验_氯 → 检验_钠 → 疾病_高脂血症
59,检验_氯,检验_钠,药物_阿司匹林肠溶片,检验_氯 → 检验_钠 → 药物_阿司匹林肠溶片
60,检验_氯,检验_钠,检验_谷草/谷丙,检验_氯 → 检验_钠 → 检验_谷草/谷丙
61,检验_氯,检验_葡萄糖,疾病_混合痔,检验_氯 → 检验_葡萄糖 → 疾病_混合痔
62,检验_氯,检验_葡萄糖,疾病_糖尿病,检验_氯 → 检验_葡萄糖 → 疾病_糖尿病
63,检验_氯,检验_葡萄糖,疾病_冠状动脉粥样硬化性心脏病,检验_氯 → 检验_葡萄糖 → 疾病_冠状动脉粥样硬化性心脏病
64,检验_氯,药物_肝素钠注射液,药物_氯化钠注射液,检验_氯 → 药物_肝素钠注射液 → 药物_氯化钠注射液
65,检验_总蛋白,疾病_动脉硬化,疾病_脂肪肝,检验_总蛋白 → 疾病_动脉硬化 → 疾病_脂肪肝
66,检验_总蛋白,疾病_高血压,检验_钾,检验_总蛋白 → 疾病_高血压 → 检验_钾
67,检验_总蛋白,疾病_高血压,药物_阿司匹林肠溶片,检验_总蛋白 → 疾病_高血压 → 药物_阿司匹林肠溶片
68,检验_总蛋白,疾病_高血压,检验_碳酸氢盐,检验_总蛋白 → 疾病_高血压 → 检验_碳酸氢盐
69,检验_总蛋白,疾病_高血压,药物_阿卡波糖片,检验_总蛋白 → 疾病_高血压 → 药物_阿卡波糖片
70,检验_总蛋白,疾病_高血压,药物_碳酸钙片,检验_总蛋白 → 疾病_高血压 → 药物_碳酸钙片
71,检验_总蛋白,疾病_高血压,药物_苯磺酸氨氯地平片,检验_总蛋白 → 疾病_高血压 → 药物_苯磺酸氨氯地平片
72,检验_总蛋白,检验_氯,检验_钠,检验_总蛋白 → 检验_氯 → 检验_钠
73,检验_总蛋白,检验_氯,检验_葡萄糖,检验_总蛋白 → 检验_氯 → 检验_葡萄糖
74,检验_总蛋白,检验_氯,药物_肝素钠注射液,检验_总蛋白 → 检验_氯 → 药物_肝素钠注射液
75,检验_碳酸氢盐,检验_总蛋白,疾病_动脉硬化,检验_碳酸氢盐 → 检验_总蛋白 → 疾病_动脉硬化
76,检验_碳酸氢盐,检验_总蛋白,药物_苯磺酸氨氯地平片,检验_碳酸氢盐 → 检验_总蛋白 → 药物_苯磺酸氨氯地平片
77,检验_碳酸氢盐,检验_总蛋白,疾病_高血压,检验_碳酸氢盐 → 检验_总蛋白 → 疾病_高血压
78,检验_碳酸氢盐,检验_总蛋白,检验_氯,检验_碳酸氢盐 → 检验_总蛋白 → 检验_氯
79,检验_碳酸氢盐,检验_尿酸,检验_镁,检验_碳酸氢盐 → 检验_尿酸 → 检验_镁
80,检验_碳酸氢盐,检验_尿酸,检验_磷,检验_碳酸氢盐 → 检验_尿酸 → 检验_磷
81,检验_碳酸氢盐,检验_尿酸,药物_硫酸氢氯吡格雷片,检验_碳酸氢盐 → 检验_尿酸 → 药物_硫酸氢氯吡格雷片
82,检验_碳酸氢盐,检验_尿酸,疾病_混合痔,检验_碳酸氢盐 → 检验_尿酸 → 疾病_混合痔
83,检验_碳酸氢盐,检验_磷,药物_碳酸钙片,检验_碳酸氢盐 → 检验_磷 → 药物_碳酸钙片
84,药物_阿卡波糖片,疾病_高血压,检验_总蛋白,药物_阿卡波糖片 → 疾病_高血压 → 检验_总蛋白
85,药物_阿卡波糖片,疾病_高血压,检验_钾,药物_阿卡波糖片 → 疾病_高血压 → 检验_钾
86,药物_阿卡波糖片,疾病_高血压,药物_阿司匹林肠溶片,药物_阿卡波糖片 → 疾病_高血压 → 药物_阿司匹林肠溶片
87,药物_阿卡波糖片,疾病_高血压,检验_碳酸氢盐,药物_阿卡波糖片 → 疾病_高血压 → 检验_碳酸氢盐
88,药物_阿卡波糖片,疾病_高血压,药物_碳酸钙片,药物_阿卡波糖片 → 疾病_高血压 → 药物_碳酸钙片
89,药物_阿卡波糖片,疾病_高血压,药物_苯磺酸氨氯地平片,药物_阿卡波糖片 → 疾病_高血压 → 药物_苯磺酸氨氯地平片
90,疾病_混合痔,疾病_高脂血症,疾病_反流性食管炎,疾病_混合痔 → 疾病_高脂血症 → 疾病_反流性食管炎
91,疾病_混合痔,疾病_高脂血症,药物_阿托伐他汀钙片,疾病_混合痔 → 疾病_高脂血症 → 药物_阿托伐他汀钙片
92,疾病_混合痔,疾病_高脂血症,疾病_动脉硬化,疾病_混合痔 → 疾病_高脂血症 → 疾病_动脉硬化
93,疾病_混合痔,疾病_高脂血症,药物_阿司匹林肠溶片,疾病_混合痔 → 疾病_高脂血症 → 药物_阿司匹林肠溶片
94,疾病_混合痔,检验_尿酸,检验_碳酸氢盐,疾病_混合痔 → 检验_尿酸 → 检验_碳酸氢盐
95,疾病_混合痔,检验_尿酸,检验_镁,疾病_混合痔 → 检验_尿酸 → 检验_镁
96,疾病_混合痔,检验_尿酸,检验_磷,疾病_混合痔 → 检验_尿酸 → 检验_磷
97,疾病_混合痔,检验_尿酸,药物_硫酸氢氯吡格雷片,疾病_混合痔 → 检验_尿酸 → 药物_硫酸氢氯吡格雷片
98,疾病_混合痔,检验_葡萄糖,疾病_糖尿病,疾病_混合痔 → 检验_葡萄糖 → 疾病_糖尿病
99,疾病_混合痔,检验_葡萄糖,疾病_冠状动脉粥样硬化性心脏病,疾病_混合痔 → 检验_葡萄糖 → 疾病_冠状动脉粥样硬化性心脏病
100,检验_葡萄糖,疾病_混合痔,疾病_高脂血症,检验_葡萄糖 → 疾病_混合痔 → 疾病_高脂血症
101,检验_葡萄糖,疾病_混合痔,检验_尿酸,检验_葡萄糖 → 疾病_混合痔 → 检验_尿酸
102,检验_葡萄糖,疾病_糖尿病,疾病_高尿酸血症,检验_葡萄糖 → 疾病_糖尿病 → 疾病_高尿酸血症
103,检验_葡萄糖,疾病_糖尿病,药物_盐酸羟考酮缓释片,检验_葡萄糖 → 疾病_糖尿病 → 药物_盐酸羟考酮缓释片
104,检验_葡萄糖,疾病_糖尿病,药物_阿卡波糖片,检验_葡萄糖 → 疾病_糖尿病 → 药物_阿卡波糖片
105,检验_葡萄糖,疾病_糖尿病,药物_阿司匹林肠溶片,检验_葡萄糖 → 疾病_糖尿病 → 药物_阿司匹林肠溶片
106,药物_阿司匹林肠溶片,疾病_糖尿病,疾病_高尿酸血症,药物_阿司匹林肠溶片 → 疾病_糖尿病 → 疾病_高尿酸血症
107,药物_阿司匹林肠溶片,疾病_糖尿病,药物_盐酸羟考酮缓释片,药物_阿司匹林肠溶片 → 疾病_糖尿病 → 药物_盐酸羟考酮缓释片
108,药物_阿司匹林肠溶片,疾病_糖尿病,药物_阿卡波糖片,药物_阿司匹林肠溶片 → 疾病_糖尿病 → 药物_阿卡波糖片
109,药物_阿司匹林肠溶片,疾病_糖尿病,检验_葡萄糖,药物_阿司匹林肠溶片 → 疾病_糖尿病 → 检验_葡萄糖
110,药物_氯化钠注射液,检验_谷草/谷丙,检验_钾,药物_氯化钠注射液 → 检验_谷草/谷丙 → 检验_钾
111,药物_氯化钠注射液,检验_谷草/谷丙,药物_艾司唑仑片,药物_氯化钠注射液 → 检验_谷草/谷丙 → 药物_艾司唑仑片
112,药物_氯化钠注射液,检验_谷草/谷丙,疾病_糖尿病,药物_氯化钠注射液 → 检验_谷草/谷丙 → 疾病_糖尿病
113,药物_氯化钠注射液,检验_谷草/谷丙,药物_硫酸氢氯吡格雷片,药物_氯化钠注射液 → 检验_谷草/谷丙 → 药物_硫酸氢氯吡格雷片
114,药物_肝素钠注射液,药物_氯化钠注射液,检验_谷草/谷丙,药物_肝素钠注射液 → 药物_氯化钠注射液 → 检验_谷草/谷丙
